 0.34  24.8473 
 0.03  24.9833 
-0.22  24.9798 
 0.04  24.9116 
-0.02  25.5182 
 0.22  24.9293 
-0.14  25.0121 
 0.19  24.8693 
 0.10  24.9984 
 0.36  24.9261 
-0.01  25.0149 
 0.27  25.0516 
-0.04  24.9412 
 0.18  25.0581 
-0.25  25.5382 
-0.09  25.2412 
 0.01  25.1575 
 0.12  24.8132 
-0.17  25.1371 
-0.09  25.2260 
-0.24  24.5460 
 0.54  25.0539 
-0.15  25.5268 
-0.04  24.8058 
-0.35  24.7807 
-0.22  25.2693 
 0.01  24.6925 
-0.17  24.9076 
 0.06  25.0720 
 0.22  24.9315 
-0.08  24.9791 
 0.23  25.0197 
 0.23  24.8983 
 0.35  24.9967 
 0.12  24.7780 
 0.01  24.5873 
 0.40  25.2172 
 0.14  24.6091 
-0.02  24.8942 
-0.09  25.3239 
-0.04  24.5481 
-0.05  25.0280 
-0.16  25.1989 
-0.01  25.3584 
 0.12  24.9846 
-0.02  24.9517 
-0.21  24.5927 
-0.12  25.0534 
 0.10  24.8408 
 0.15  24.8471 
 0.15  25.0650 
-0.16  24.9682 
-0.10  24.8778 
-0.25  24.7550 
-0.08  25.0204 
-0.21  24.8250 
-0.23  24.8434 
 0.15  25.0774 
-0.40  25.2570 
-0.05  24.9268 
 0.13  25.0321 
-0.00  24.9043 
 0.04  25.0024 
 0.07  24.8012 
 0.60  24.8203 
-0.12  24.9220 
 0.12  25.2799 
-0.23  24.8458 
 0.20  24.9061 
 0.15  25.2819 
 0.20  24.7946 
-0.08  25.1175 
-0.09  24.8358 
 0.18  24.9881 
 0.10  25.0436 
 0.31  25.1300 
 0.17  24.9637 
 0.53  24.8665 
 0.30  24.9560 
-0.27  25.2358 
-0.30  25.3826 
-0.10  25.0651 
-0.26  25.2239 
-0.06  24.8341 
 0.23  25.0574 
 0.25  25.2296 
-0.13  25.0172 
 0.27  24.9233 
 0.12  24.7550 
-0.03  25.3497 
 0.16  25.0424 
 0.28  25.1562 
-0.06  25.3343 
-0.00  24.9673 
 0.03  24.8363 
-0.07  24.9848 
 0.10  24.6660 
 0.10  24.8055 
 0.25  25.0309 
 0.02  24.9642 
